MC_Bin      Toa         TimeEnd            Mag     PW    Freq     Fmin     Fmax    Fmop   Phase01  CW   PhaseSegs  Thres FileSeek
5      637243904.00   637343232.00      80.2 99328.00  115.23  115.23  115.23 0    0.90 0 193    68.8  318621952 
24      637357568.00   637358592.00      67.3 1024.00   78.12   78.12   78.12 0    5.31 0 1    61.5  318678784 
5      637702144.00   637703168.00      61.9 1024.00  115.23  115.23  115.23 0 -164.12 0 1    58.9  318851072 
25      638004224.00   638005248.00      66.6 1024.00   76.17   76.17   76.17 0  179.84 0 1    59.1  319002112 
5      638267904.00   638367744.00      80.2 99840.00  115.23  115.23  115.23 0    1.68 0 194    68.5  319133952 
1      638427136.00   638428672.00      64.9 1536.00  123.05  123.05  123.05 0  142.68 0 1    61.8  319213568 
19      638646272.00   638647296.00      67.4 1024.00   87.89   87.89   87.89 0 -112.09 0 1    65.8  319323136 
2      638930432.00   638932480.00      63.6 2048.00  121.09  121.09  121.09 0   63.00 0 3    59.4  319465216 
5      639291904.00   639391744.00      80.0 99840.00  115.23  115.23  115.23 0    0.60 0 194    66.0  319645952 
29      639550464.00   639551488.00      65.1 1024.00   68.36   68.36   68.36 0  175.14 0 1    62.8  319775232 
3      639556608.00   639558656.00      62.6 2048.00  119.14  119.14  119.14 0   56.38 0 2    60.3  319778304 
18      639656448.00   639657472.00      65.8 1024.00   89.84   89.84   89.84 0    0.90 0 1    64.3  319828224 
9      639918592.00   639919616.00      64.9 1024.00  107.42  107.42  107.42 0 -120.60 0 1    60.5  319959296 
6      639959040.00   639960064.00      66.7 1024.00  113.28  113.28  113.28 0  133.75 0 1    65.0  319979520 
5      640316416.00   640415744.00      80.0 99328.00  115.23  115.23  115.23 0   -3.14 0 193    68.8  320158208 
5      641340416.00   641439744.00      79.9 99328.00  115.23  115.23  115.23 0    0.34 0 193    70.1  320670208 
16      641440256.00   641441280.00      67.0 1024.00   93.75   93.75   93.75 0 -109.03 0 1    59.9  320720128 
26      641841152.00   641842176.00      62.8 1024.00   74.22   74.22   74.22 0  179.94 0 1    61.5  320920576 
3      642043392.00   642045952.00      61.4 2560.00  119.14  119.14  119.14 0   27.96 0 2    56.1  321021696 
